Step     0, Loss:  2.48, Accuracy:   3.12%, Time usage:  0m  3s .
Step 12100, Loss:  0.01, Accuracy:  99.22%, Time usage:  6m 32s .
Step 12200, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 38s .
Step 12300, Loss:  0.01, Accuracy: 100.00%, Time usage:  6m 41s .
Step 12400, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 44s .
Step 12500, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 46s .
Step 12600, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 49s .
Step 12700, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 54s .
Step 12800, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 57s .
Step 12900, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 59s .
Step 13000, Loss:  0.01, Accuracy:  99.22%, Time usage:  7m  2s .
Step 13100, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m  4s .
Step 13200, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 10s .
Step 13300, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 12s .
Step 13400, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 15s .
Step 13500, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 17s .
Step 13600, Loss:  0.00, Accuracy:  75.00%, Time usage:  7m 20s .
Step 13700, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 25s .
Step 13800, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 28s .
Step 13900, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 30s .
Step 14000, Loss:  0.02, Accuracy:  99.22%, Time usage:  7m 33s .
 Time usage of train:  7m 33s .
Step     0, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m  2s .
Test Loss:  0.03, Accuracy: 99.22%
test correctL:9922, len of test:10000
Time Usage:  0.07 mins.
The accuracy of plane: 0.9948979591836735
The accuracy of car: 0.9982378854625551
The accuracy of bird: 0.9883720930232558
The accuracy of cat: 0.9910891089108911
The accuracy of deer: 0.994908350305499
The accuracy of dog: 0.9943946188340808
The accuracy of frog: 0.9906054279749478
The accuracy of horse: 0.9892996108949417
The accuracy of ship: 0.9938398357289527
The accuracy of truck: 0.9861248761149654
